"city";"country";"nbArtists"
"cairo";"france";"2"
"uppsala";"sweden";"2"
"harrisburg";"united states";"2"
"scarborough";"canada";"2"
"northampton";"united kingdom";"2"
"hamilton";"united states";"2"
"barcelona";"spain";"2"
"hounslow";"united kingdom";"2"
"ulm";"germany";"2"
"kelowna";"canada";"2"
"oxnard";"united states";"2"
"wimborne minster";"united kingdom";"2"
"baldwin";"united states";"2"
"new malden";"united kingdom";"2"
"oslo";"norway";"2"
"neuilly-sur-seine";"france";"2"
"hampton";"united states";"2"
"portland";"united states";"2"
"wichita";"united states";"2"
"lake charles";"united states";"2"
"chatham";"united kingdom";"2"
"santa rosa";"united states";"2"
"brighton";"united kingdom";"2"
"brussels";"belgium";"2"
"bad salzuflen";"germany";"2"
"quedlinburg";"germany";"2"
"moncton";"canada";"2"
"mccomb";"united states";"2"
"frankfurt am main";"germany";"2"
"westmount";"canada";"2"
"riverside";"united states";"2"
"princeton";"united states";"2"
"leeds";"united kingdom";"2"
"beaumont";"united states";"2"
"brookline";"united states";"2"
"stamford";"united states";"2"
"marylebone";"united kingdom";"2"
"manchester";"united kingdom";"2"
"new delhi";"canada";"2"
"tucson";"united states";"2"
"san diego";"united states";"2"
"bethesda";"united states";"2"
"syracuse";"united states";"2"
"wynnewood";"united states";"2"
"corsicana";"united states";"2"
"california";"united states";"2"
"coswig";"germany";"2"
"brisbane";"australia";"2"
"seminole";"united states";"2"
"doylestown";"united states";"2"
"graz";"austria";"2"
"athens";"united states";"2"
"brinkley";"united states";"2"
"rochester";"united states";"2"
"columbia";"united states";"2"
"leicester";"united kingdom";"2"
"inglewood";"united states";"2"
"williamsburg";"united states";"2"
"islington";"united kingdom";"2"
"plumstead";"united kingdom";"2"
"santiago";"chile";"2"
"sherman";"united states";"2"
"mérida";"mexico";"2"
"lubbock";"united states";"2"
"mississippi";"united states";"2"
"indianola";"united states";"2"
"west bromwich";"united kingdom";"2"
"emden";"germany";"2"
"geneva";"united states";"2"
"bonn";"germany";"2"
"cordele";"united states";"2"
"greenwich village";"united states";"2"
"berwyn";"united states";"2"
"glen cove";"united states";"2"
"greenville";"united states";"2"
"champaign";"united states";"2"
"tyler";"united states";"2"
"whitechapel";"united kingdom";"2"
"anaheim";"united states";"2"
"laguna hills";"united states";"2"
"jönköping";"sweden";"2"
"hazlehurst";"united states";"2"
"galveston";"united states";"2"
"wallsend";"united kingdom";"2"
"knoxville";"united states";"2"
"halmstad";"sweden";"2"
"eversley";"united kingdom";"1"
"aarhus";"denmark";"1"
"waverley";"canada";"1"
"poznań";"germany";"1"
"torbat-e jam";"united states";"1"
"birkenhead";"united kingdom";"1"
"masterton";"new zealand";"1"
"gaspé";"canada";"1"
"winona";"united states";"1"
"bremerhaven";"germany";"1"
"quebec";"canada";"1"
"cambuslang";"united kingdom";"1"
"rossville";"united states";"1"
"lebanon";"united states";"1"
"mooringsport";"united states";"1"
"caracas";"spain";"1"
"kendal";"jamaica";"1"
"borgerhout";"belgium";"1"
"faenza";"italy";"1"
"fort knox";"united states";"1"
"busto arsizio";"italy";"1"
"oneonta";"united states";"1"
"bagneux";"france";"1"
"pawnee city";"united states";"1"
"panama city";"spain";"1"
"san benito";"united states";"1"
"johannesburg";"south africa";"1"
"torrance";"united states";"1"
"goro";"italy";"1"
"pierrefonds";"france";"1"
"svidník";"slovakia";"1"
"altus";"united states";"1"
"geel";"belgium";"1"
"coatepec";"mexico";"1"
"bathurst";"canada";"1"
"queens";"ireland";"1"
"iowa city";"united states";"1"
"necton";"united kingdom";"1"
"grimsby";"canada";"1"
"derby";"united kingdom";"1"
"london";"ireland";"1"
"elva";"estonia";"1"
"gloucester";"united kingdom";"1"
"camden";"united states";"1"
"caesarea";"israel";"1"
"santo antônio de jesus";"brazil";"1"
"orpington";"united kingdom";"1"
"everett";"united states";"1"
"bellefonte";"canada";"1"
"marietta";"united states";"1"
"yangon";"united kingdom";"1"
"lawton";"united states";"1"
"walton-on-thames";"united kingdom";"1"
"todmorden";"united kingdom";"1"
"tohmajärvi";"finland";"1"
"lagos";"nigeria";"1"
"kalamazoo";"united states";"1"
"chillicothe";"united states";"1"
"sainte-anne-des-monts";"canada";"1"
"baarlo";"netherlands";"1"
"lovejoy";"united states";"1"
"penticton";"canada";"1"
"basel";"germany";"1"
"kongsberg";"norway";"1"
"bartlett";"united states";"1"
"kissidougou";"guinea";"1"
"zoetermeer";"netherlands";"1"
"guernsey";"united kingdom";"1"
"el dorado";"united states";"1"
"dippoldiswalde";"germany";"1"
"romeo";"united states";"1"
"nicosia";"united kingdom";"1"
"odense";"denmark";"1"
"anstruther";"united kingdom";"1"
"hamilton";"new zealand";"1"
"st. john's";"canada";"1"
"gijón";"spain";"1"
"tripoli";"united states";"1"
"bietigheim-bissingen";"germany";"1"
"seguin";"united states";"1"
"jersey city";"united states";"1"
"victoria";"canada";"1"
"decatur";"united states";"1"
"new braunfels";"united states";"1"
"auckland";"new zealand";"1"
"monaco";"france";"1"
"annweiler am trifels";"germany";"1"
"york";"liverpool";"1"
"rupperswil";"switzerland";"1"
"eschwege";"germany";"1"
"schöneberg";"germany";"1"
"rostock";"germany";"1"
"portsmouth";"united states";"1"
"hatfield";"united kingdom";"1"
"ystad";"sweden";"1"
"port clinton";"united states";"1"
"bluefield";"united states";"1"
"miami beach";"united states";"1"
"laurel";"tokyo";"1"
"bocas del toro";"united states";"1"
"ermelo";"south africa";"1"
"salem";"united states";"1"
"amory";"united states";"1"
"ciudad de méxico";"mexico";"1"
"williams";"united states";"1"
"eugene";"nashville";"1"
"bessemer";"germany";"1"
"huntington beach";"united states";"1"
"hénin-beaumont";"france";"1"
"dayton";"amherst";"1"
"winnweiler";"germany";"1"
"orangeburg";"united states";"1"
"zurich";"germany";"1"
"southport";"united kingdom";"1"
"i̇zmir";"france";"1"
"dumfries";"united kingdom";"1"
"bay city";"united states";"1"
"duncan";"canada";"1"
"roncocesi";"italy";"1"
"tallinn";"estonia";"1"
"navasota";"united states";"1"
"crossville";"united states";"1"
"nashua";"united states";"1"
"lagonegro";"italy";"1"
"cottage grove";"united states";"1"
"south bend";"united states";"1"
"marseille";"france";"1"
"montreal";"toronto";"1"
"düren";"germany";"1"
"santo amaro";"brazil";"1"
"trogen";"switzerland";"1"
"huntington";"united states";"1"
"gütersloh";"germany";"1"
"dakar";"france";"1"
"port of spain";"queens";"1"
"cairo";"austria";"1"
"thousand oaks";"united states";"1"
"rio grande do norte";"brazil";"1"
"morden";"canada";"1"
"port credit";"canada";"1"
"portsmouth";"united kingdom";"1"
"bridgeton";"united kingdom";"1"
"algiers";"united states";"1"
"melbourne";"new zealand";"1"
"oildale";"united states";"1"
"hempstead";"united states";"1"
"burnaby";"canada";"1"
"waterlooville";"united kingdom";"1"
"ingolstadt";"austria";"1"
"carrick-on-suir";"ireland";"1"
"annapolis";"united states";"1"
"santa fe";"argentina";"1"
"aalborg";"denmark";"1"
"silver spring";"united states";"1"
"dorfen";"germany";"1"
"latina";"italy";"1"
"moskva";"germany";"1"
"ashkelon";"united states";"1"
"auburn";"united states";"1"
"gorzów wielkopolski";"poland";"1"
"bega";"australia";"1"
"nérac";"france";"1"
"sedona";"united states";"1"
"lisbon";"portugal";"1"
"burslem";"los angeles";"1"
"redruth";"united kingdom";"1"
"rochester";"australia";"1"
"west allis";"united states";"1"
"bonheiden";"belgium";"1"
"centerville";"united states";"1"
"nieppe";"france";"1"
"kingsville";"united states";"1"
"hahira";"united states";"1"
"kent";"united kingdom";"1"
"marksville";"united states";"1"
"plymouth";"united kingdom";"1"
"lincoln";"united states";"1"
"inverness";"united states";"1"
"rock island";"united states";"1"
"lyon";"france";"1"
"tuskegee";"united states";"1"
"ciboure";"france";"1"
"mannheim";"denmark";"1"
"whiston";"united kingdom";"1"
"russia";"united states";"1"
"pavia";"italy";"1"
"pemberton";"united kingdom";"1"
"peterborough";"united kingdom";"1"
"nagoya";"japan";"1"
"helsinki";"sweden";"1"
"toruń";"poland";"1"
"aarhus municipality";"denmark";"1"
"dover";"united states";"1"
"timmins";"canada";"1"
"camden";"united kingdom";"1"
"san luis obispo";"united states";"1"
"farnborough";"united kingdom";"1"
"delft";"netherlands";"1"
"cambridge bay";"canada";"1"
"huntingdon";"united kingdom";"1"
"roosevelt";"united states";"1"
"toledo";"united states";"1"
"reading";"united states";"1"
"philadelphia";"mexico";"1"
"newport";"united states";"1"
"saitama";"japan";"1"
"hadano";"japan";"1"
"linden";"united states";"1"
"cairo";"united states";"1"
"hornsey";"united kingdom";"1"
"obertshausen";"germany";"1"
"aledo";"united states";"1"
"kolari";"finland";"1"
"colfax";"united states";"1"
"perpignan";"france";"1"
"trinidad and tobago";"united states";"1"
"barking";"ireland";"1"
"folkestone";"united kingdom";"1"
"whangarei";"australia";"1"
"barnet";"united kingdom";"1"
"rockingham";"united states";"1"
"hemmoor";"germany";"1"
"tours";"france";"1"
"rocky mount";"united states";"1"
"moose jaw";"canada";"1"
"karlstad";"sweden";"1"
"villa rica";"united states";"1"
"ditzingen";"germany";"1"
"münsingen";"germany";"1"
"vantaa";"finland";"1"
"vance";"united states";"1"
"wednesbury";"united kingdom";"1"
"coral gables";"united states";"1"
"caledon";"canada";"1"
"würzburg";"germany";"1"
"lyon";"united states";"1"
"bordeaux";"france";"1"
"detroit";"las vegas";"1"
"ripley";"united states";"1"
"hampstead";"united states";"1"
"buenos aires";"germany";"1"
"guildford";"united kingdom";"1"
"west wickham";"united kingdom";"1"
"dry ridge";"united states";"1"
"ilpendam";"netherlands";"1"
"sangre grande";"trinidad and tobago";"1"
"rimini";"italy";"1"
"guadalajara";"mexico";"1"
"virrat";"finland";"1"
"south orange";"united states";"1"
"barstow";"united states";"1"
"saratov";"germany";"1"
"odessa";"ukraine";"1"
"weida";"germany";"1"
"shanghai";"switzerland";"1"
"athens";"sweden";"1"
"welwyn garden city";"australia";"1"
"brawley";"united states";"1"
"carle place";"united states";"1"
"fort lauderdale";"united states";"1"
"kingsport";"united states";"1"
"saint john";"canada";"1"
"tabor city";"united states";"1"
"goshen";"united states";"1"
"montrouge";"france";"1"
"dakar";"senegal";"1"
"lincoln";"united kingdom";"1"
"wallasey";"united kingdom";"1"
"grenada";"united states";"1"
"asheville";"united states";"1"
"maud";"united states";"1"
"ocean city";"united states";"1"
"karlsruhe";"germany";"1"
"newhaven";"united kingdom";"1"
"lübeck";"germany";"1"
"aschersleben";"germany";"1"
"geneva";"switzerland";"1"
"rio grande do sul";"brazil";"1"
"jaipur";"india";"1"
"kinshasa";"belgium";"1"
"watford";"united kingdom";"1"
"san carlos";"chile";"1"
"prestwich";"united kingdom";"1"
"okemah";"united states";"1"
"walnut ridge";"united states";"1"
"wrocław";"germany";"1"
"perry";"united states";"1"
"apeldoorn";"netherlands";"1"
"littlefield";"united states";"1"
"savanna";"united states";"1"
"west monroe";"united states";"1"
"fortaleza";"brazil";"1"
"wildeshausen";"germany";"1"
"herford";"germany";"1"
"rathenow";"germany";"1"
"california";"canada";"1"
"barrington";"united states";"1"
"montrose";"united states";"1"
"vicksburg";"united states";"1"
"memphis";"france";"1"
"harlow";"united kingdom";"1"
"jefferson";"united states";"1"
"wheeling";"united states";"1"
"chichester";"united kingdom";"1"
"bushey";"united kingdom";"1"
"zurich";"switzerland";"1"
"durant";"united states";"1"
"irará";"brazil";"1"
"pomona";"united states";"1"
"los angeles";"ventura";"1"
"pontypridd";"united kingdom";"1"
"livingston";"united states";"1"
"copenhagen";"iceland";"1"
"visalia";"united states";"1"
"groveton";"united states";"1"
"sulkava";"finland";"1"
"fresno";"united states";"1"
"wiesbaden";"united states";"1"
"norwich";"united kingdom";"1"
"aachen";"austria";"1"
"bamako";"mali";"1"
"slough";"united kingdom";"1"
"vidor";"united states";"1"
"fontana";"united states";"1"
"mercer";"united states";"1"
"kitee";"finland";"1"
"porvoo";"finland";"1"
"petersburg";"united states";"1"
"klagenfurt";"austria";"1"
"gronau";"germany";"1"
"usingen";"germany";"1"
"prüm";"germany";"1"
"tennessee";"united states";"1"
"belfast";"northern ireland";"1"
"milford";"united states";"1"
"china";"china";"1"
"lewisham";"united kingdom";"1"
"adelaide";"australia";"1"
"hinckley";"united kingdom";"1"
"aguadilla";"puerto rico";"1"
"harmontown";"united states";"1"
"bogalusa";"united states";"1"
"palermo";"italy";"1"
"belzoni";"united states";"1"
"omaha";"los angeles";"1"
"west bromwich";"ireland";"1"
"cobham";"united kingdom";"1"
"youngstown";"united states";"1"
"linton";"united states";"1"
"virginia beach";"united states";"1"
"little rock";"united states";"1"
"erlangen";"germany";"1"
"new delhi";"germany";"1"
"mikołów";"poland";"1"
"tampere";"finland";"1"
"dortmund";"germany";"1"
"roxbury";"united states";"1"
"logansport";"united states";"1"
"scottsbluff";"united states";"1"
"frederiksberg";"denmark";"1"
"stone mountain";"united states";"1"
"ashford";"united kingdom";"1"
"stourport-on-severn";"united kingdom";"1"
"calais";"france";"1"
"sugar land";"united states";"1"
"tralee";"germany";"1"
"moskva";"united states";"1"
"straubing";"germany";"1"
"budapest";"hungary";"1"
"centre";"cameroon";"1"
"mora";"sweden";"1"
"harrow";"australia";"1"
"kennett";"united states";"1"
"makassar";"indonesia";"1"
"plant city";"united states";"1"
"bridport";"united kingdom";"1"
"owatonna";"united states";"1"
"gardelegen";"germany";"1"
"dawson";"united states";"1"
"natchitoches";"united states";"1"
"natchez";"united states";"1"
"montville";"united states";"1"
"witham";"united kingdom";"1"
"cambridge";"australia";"1"
"teddington";"united kingdom";"1"
"warri";"germany";"1"
"tryon";"united states";"1"
"tokyo";"united states";"1"
"brighton and hove";"united kingdom";"1"
"evanston";"united states";"1"
"lancaster";"canada";"1"
"winchester";"united states";"1"
"claremore";"united states";"1"
"old town";"united states";"1"
"venice";"italy";"1"
"clacton-on-sea";"united states";"1"
"chingford";"united kingdom";"1"
"bromborough";"united kingdom";"1"
"thunder bay";"canada";"1"
"billingham";"united kingdom";"1"
"minnesota";"edina";"1"
"southampton county";"united states";"1"
"sandefjord";"norway";"1"
"texarkana";"united states";"1"
"bebington";"united kingdom";"1"
"limerick";"ireland";"1"
"cheltenham";"united kingdom";"1"
"notting hill";"united kingdom";"1"
"cayce";"united states";"1"
"bowling green";"united states";"1"
"wels";"austria";"1"
"setúbal";"portugal";"1"
"arklow";"ireland";"1"
"scranton";"united states";"1"
"khyber pakhtunkhwa";"united kingdom";"1"
"brandenburg an der havel";"germany";"1"
"perth amboy";"united states";"1"
"alkmaar";"germany";"1"
"vernon";"united states";"1"
"ozark";"united states";"1"
"bobingen";"germany";"1"
"maynardville";"united states";"1"
"littleton";"united states";"1"
"tehran";"united kingdom";"1"
"dagenham";"united kingdom";"1"
"nattheim";"germany";"1"
"eureka";"united states";"1"
"pickering";"canada";"1"
"santa cruz";"united states";"1"
"paddington";"los angeles";"1"
"boulogne-billancourt";"france";"1"
"sønderborg";"denmark";"1"
"grand prairie";"united states";"1"
"espoo";"finland";"1"
"north carolina";"united states";"1"
"vaasa";"finland";"1"
"belford roxo";"brazil";"1"
"denizli";"turkey";"1"
"flevoland";"netherlands";"1"
"kraków";"sweden";"1"
"livonia";"united states";"1"
"maysville";"united states";"1"
"nice";"france";"1"
"haverhill";"united states";"1"
"fort recovery";"united states";"1"
"elmhurst";"united states";"1"
"south wentworthville";"australia";"1"
"darby";"united states";"1"
"teaneck";"united states";"1"
"dundee";"united kingdom";"1"
"cordell";"united states";"1"
"dingle";"united kingdom";"1"
"kosovo";"united kingdom";"1"
"beckenham";"brazil";"1"
"trinidad";"trinidad and tobago";"1"
"collingswood";"united states";"1"
"great yarmouth";"united kingdom";"1"
"landstuhl";"united states";"1"
"ukiah";"united states";"1"
"county donegal";"ireland";"1"
"alençon";"france";"1"
"helena-west helena";"united states";"1"
"batley";"united kingdom";"1"
"zachary";"united states";"1"
"hernando";"united states";"1"
"black mountain";"united states";"1"
"cachoeiro de itapemirim";"brazil";"1"
"beloit";"united states";"1"
"highgate";"united kingdom";"1"
"brecon";"united kingdom";"1"
"great bookham";"united kingdom";"1"
"nairobi";"united kingdom";"1"
"steventon";"united kingdom";"1"
"hillingdon";"united kingdom";"1"
"port of spain";"united states";"1"
"california";"japan";"1"
"bay village";"united states";"1"
"suffern";"united states";"1"
"manhasset";"canada";"1"
"exeter";"united kingdom";"1"
"middlesbrough";"united kingdom";"1"
"staveley";"united kingdom";"1"
"lexington";"united states";"1"
"tamaulipas";"mexico";"1"
"rothenburg ob der tauber";"germany";"1"
"quivicán";"cuba";"1"
"wilmington";"united states";"1"
"spartanburg county";"united states";"1"
"baton rouge";"united states";"1"
"vannes";"france";"1"
"erfurt";"germany";"1"
"gold coast";"australia";"1"
"wriezen";"germany";"1"
"des moines";"united states";"1"
"anniston";"united states";"1"
"garland";"united states";"1"
"indiana";"united states";"1"
"naples";"united states";"1"
"staßfurt";"germany";"1"
"mount vernon";"united states";"1"
"medford";"united states";"1"
"labrador city";"canada";"1"
"peoria";"united states";"1"
"denmark";"appleton";"1"
"hull";"canada";"1"
"manila";"philippines";"1"
"kitchener";"canada";"1"
"venado tuerto";"united kingdom";"1"
"edwards air force base";"united states";"1"
"aydın";"turkey";"1"
"chelsea";"united states";"1"
"ventura";"united states";"1"
"dundas";"canada";"1"
"huntingdon";"united states";"1"
"british columbia";"canada";"1"
"sharonville";"united states";"1"
"pine bluff";"united states";"1"
"ostfildern";"germany";"1"
"boulder";"united states";"1"
"michigan city";"united states";"1"
"westminster";"united kingdom";"1"
"modena";"italy";"1"
"saco";"united states";"1"
"niterói";"brazil";"1"
"edirne";"turkey";"1"
"são vicente";"cape verde";"1"
"calvert";"united states";"1"
"new orleans";"germany";"1"
"gainesville";"brooklyn";"1"
"narbonne";"france";"1"
"edwards";"united states";"1"
"henagar";"united states";"1"
"kosciusko";"united states";"1"
"eden";"united states";"1"
"szczecin";"israel";"1"
"kota kinabalu";"japan";"1"
"el centro";"united states";"1"
"malvern";"united kingdom";"1"
"luttrell";"united states";"1"
"montana";"united states";"1"
"maine";"united states";"1"
"charleston";"united states";"1"
"dumfries and galloway";"united kingdom";"1"
"offenburg";"germany";"1"
"georgia";"united states";"1"
"polignano a mare";"italy";"1"
"hawthorne";"united states";"1"
"central city";"united states";"1"
"new rochelle";"united states";"1"
"floydada";"united states";"1"
"passaic";"united states";"1"
"lentate sul seveso";"italy";"1"
"orange county";"united states";"1"
"tullamore";"ireland";"1"
"vallejo";"united states";"1"
"little rock";"los angeles";"1"
"tehran";"united states";"1"
"hebden bridge";"united kingdom";"1"
"albert lea";"united states";"1"
"evanston";"seattle";"1"
"yugoslavia";"germany";"1"
"ziębice";"poland";"1"
"järvenpää";"finland";"1"
"oak park";"united states";"1"
"pisa";"italy";"1"
"mansfield";"united states";"1"
"nashville";"canada";"1"
"pinner";"united kingdom";"1"
"paddington";"united kingdom";"1"
"tupelo";"united states";"1"
"sunderland";"united kingdom";"1"
"castries";"united kingdom";"1"
"kópavogur";"iceland";"1"
"hauts-de-seine";"france";"1"
"tuscaloosa";"united states";"1"
"zagreb";"croatia";"1"
"brazil";"germany";"1"
"pottstown";"united states";"1"
"cisco";"united states";"1"
"downey";"united states";"1"
"concord";"united states";"1"
"cardiff";"united kingdom";"1"
"warren";"encino, los angeles";"1"
"johannesburg";"united states";"1"
"shaw";"united states";"1"
"brixton";"united kingdom";"1"
"dumbarton";"united states";"1"
"epping";"united kingdom";"1"
"saltburn-by-the-sea";"united kingdom";"1"
"dartford";"united kingdom";"1"
"sale";"united kingdom";"1"
"herrin";"united states";"1"
"san marino";"united states";"1"
"humble";"united states";"1"
"ontario";"canada";"1"
"steubenville";"united states";"1"
"hackensack";"united states";"1"
"albuquerque";"united states";"1"
"alexandria";"greece";"1"
"wickede";"germany";"1"
"pontiac";"united states";"1"
"haynes";"united states";"1"
"new westminster";"canada";"1"
"blackburn";"united kingdom";"1"
"tübingen";"germany";"1"
"oleśnica";"germany";"1"
"san fernando";"spain";"1"
"würzburg";"united states";"1"
"welling";"united kingdom";"1"
"lille";"chile";"1"
"bogotá";"colombia";"1"
"wheaton";"united states";"1"
"lake forest";"united states";"1"
"burbank";"united states";"1"
"ystrad mynach";"united kingdom";"1"
"toronto";"los angeles";"1"
"poulton-le-fylde";"united kingdom";"1"
"molde";"norway";"1"
"benešov";"czech republic";"1"
"valparaíso";"chile";"1"
"haugesund";"norway";"1"
"rottweil";"germany";"1"
"springhill";"canada";"1"
"hagen";"germany";"1"
"aberdeen";"united kingdom";"1"
"mitcham";"united kingdom";"1"
"plano";"united states";"1"
"handsworth";"united kingdom";"1"
"versailles";"france";"1"
"boca raton";"united states";"1"
"courtenay";"france";"1"
"hilversum";"netherlands";"1"
"coney island";"united states";"1"
"forest hills";"united states";"1"
"moose jaw";"united states";"1"
"forest";"united states";"1"
"ubá";"brazil";"1"
"waco";"united states";"1"
"belleville";"canada";"1"
"montpelier";"united states";"1"
"juiz de fora";"brazil";"1"
"amman";"united kingdom";"1"
"southgate";"united kingdom";"1"
"chennai";"india";"1"
"porirua";"new zealand";"1"
"tampa";"united states";"1"
"clearwater";"united states";"1"
"rutland";"united states";"1"
"the bronx";"san diego";"1"
"wentorf bei hamburg";"germany";"1"
"valinhos";"brazil";"1"
"syosset";"united states";"1"
"italy";"germany";"1"
"gentofte";"denmark";"1"
"leszno";"finland";"1"
"veracruz";"mexico";"1"
"forrest city";"united states";"1"
"santiago";"united states";"1"
"newnan";"united states";"1"
